Game,Price,Paid,Savings,Compatibility,,,,,,,,,,
,,,,,,,,,,,,,,
Astro's Playroom,€0.00,€0.00,€0.00,,,,,,,,,,,
AWAY: The Survival Series,€29.99,€0.00,€29.99,,,,,,,,,,,
Beat Cop,€14.99,€1.49,€13.50,,,,,,,,,,,
Bugsnax,€21.99,€16.49,€5.50,,,,,,,,,,,
Captain Tsubasa: Rise of New Champions,€59.99,€19.79,€40.20,,,,,,,,,,,
ClusterTruck,€14.99,€4.49,€10.50,,,,,,,,,,,
Dead End Job,€14.99,€2.99,€12.00,,,,,,,,,,,
Enter The Gungeon,€14.99,€7.49,€7.50,,,,,,,,,,,
Exit the Gungeon,€9.99,€6.99,€3.00,,,,,,,,,,,
Ghostbusters,€29.99,€7.99,€22.00,,,,,,,,,,,
Harvest Moon: A Wonderful Life,€14.99,€4.99,€10.00,,,,,,,,,,,
Hotline Miami 2: Wrong Number,€14.99,€3.59,€11.40,PS3 & VITA,,,,,,,,,,
Hue,€14.99,€4.99,€10.00,VITA,,,,,,,,,,
Human Fall Flat,€14.99,€9.99,€5.00,,,,,,,,,,,
In Rays of the Light,€7.99,€5.59,€2.40,,,,,,,,,,,
Kena: Bridge of Spirits,€39.99,€0.00,€39.99,,,,,,,,,,,
Neon Chrome,€14.99,€4.49,€10.50,VITA,,,,,,,,,,
Overcooked: All You Can Eat Edition,€128.44,€94.85,€33.59,,,,,,,,,,,
Plants vs Zombies: Battle for Neighborville,€39.99,€24.99,€15.00,,,,,,,,,,,
Please Don't Touch Anything,€9.99,€4.99,€5.00,,,,,,,,,,,
Saban's Mighty Morphin Power Rangers: Mega Battle,€19.99,€3.99,€16.00,,,,,,,,,,,
Scott Pilgrim vs The World: The Game,€14.99,€8.99,€6.00,,,,,,,,,,,
Scribblenauts Mega Pack (+1),€29.99,€9.99,€20.00,,,,,,,,,,,
Shovel Knight: Treasure Trove (+4),€24.99,€24.99,€0.00,PS3 & VITA,,,,,,,,,,
Spelunky,€14.99,€0.00,€14.99,PS3 & VITA,,,,,,,,,,
Spy Chameleon,€4.99,€1.99,€3.00,VITA,,,,,,,,,,
Stardew Valley,€14.99,€7.99,€7.00,VITA,,,,,,,,,,
Subnautica: Below Zero,€29.99,€19.49,€10.50,,,,,,,,,,,
Super Monkey Ball: Banana Blitz HD,€39.99,€19.99,€20.00,,,,,,,,,,,
Supermarket Shriek,€19.99,€11.99,€8.00,,,,,,,,,,,
The Escapists,€17.99,€6.99,€11.00,,,,,,,,,,,
The Pedestrian,€15.99,€10.39,€5.60,,,,,,,,,,,
The Sims 4,€829.63,€652.43,€177.20,,,,,,,,,,,
The Sinking City,€64.99,€45.49,€19.50,,,,,,,,,,,
The Warriors,€13.99,€5.99,€8.00,,,,,,,,,,,
Think of the Children,€12.99,€2.59,€10.40,,,,,,,,,,,
Tricky Towers,€14.99,€5.99,€9.00,,,,,,,,,,,
UNO,€19.99,€7.99,€12.00,,,,,,,,,,,
while true: learn( ),€14.99,€9.74,€5.25,,,,,,,,,,,
101 Ways To Die,€9.99,€4.99,€5.00,,,,,,,,,,,
[Prototype],€24.99,€7.99,€17.00,,,,,,,,,,,
[Prototype 2],€24.99,€7.99,€17.00,,,,,,,,,,,
A Boy And His Blob,€9.99,€3.99,€6.00,PS3 & VITA,,,,,,,,,,
A Plague Tale: Innocence,€51.98,€16.98,€35.00,,,,,,,,,,,
Absolute Drift: Zen Edition,€11.99,€7.99,€4.00,,,,,,,,,,,
Abzû,€19.99,€0.00,€19.99,,,,,,,,,,,
Active Soccer 2 DX,€9.99,€6.99,€3.00,VITA,,,,,,,,,,
Amnesia: Collection (+2),€28.49,€3.13,€25.36,,,,,,,,,,,
Amplitude,€19.99,€9.99,€10.00,,,,,,,,,,,
Another World,€7.99,€2.99,€5.00,PS3 & VITA,,,,,,,,,,
Ape Escape 2,€9.99,€3.99,€6.00,,,,,,,,,,,
Armello,€19.99,€7.99,€12.00,,,,,,,,,,,
Armikrog,€9.99,€1.99,€8.00,,,,,,,,,,,
